event_id,first_l0_time,leg_variant,leg_variant_kind,leg_variant_threshold,leg_index,leg_kind_candidate,leg_start_pos,leg_end_pos,leg_start_time,leg_end_time,leg_start_bars_since_l0,leg_end_bars_since_l0,leg_bars,leg_start_close,leg_end_close,leg_net_return,leg_max_favourable_excursion,leg_max_adverse_excursion,leg_up_bars,leg_down_bars,leg_cumulative_forward_path,leg_cumulative_adverse_path,leg_path_efficiency,leg_avg_velocity5,leg_peak_velocity5,leg_vp_ratio_start,leg_vp_ratio_mean,leg_vp_ratio_peak,leg_vp_ratio_end,leg_efficiency_rate5_mean,dim_start_direction,dim_start_flow,dim_start_velocity,dim_start_efficiency,dim_start_phase,dim_start_setup_score,dim_start_trend_score,dim_peak_direction,dim_peak_flow,dim_peak_velocity,dim_peak_efficiency,dim_peak_phase,dim_peak_setup_score,dim_peak_trend_score,dim_end_direction,dim_end_flow,dim_end_velocity,dim_end_efficiency,dim_end_phase,dim_end_setup_score,dim_end_trend_score,pullback_prior_attack_high,pullback_low,pullback_depth,pullback_duration_bars,pullback_down_velocity5,pullback_down_vp_ratio_mean,pullback_path_efficiency,pullback_prior_up_leg_gain_lost,pullback_prior_up_leg_gain_lost_ratio,pullback_prior_attack_start_close,pullback_prior_attack_start_low,pullback_broke_sma20,pullback_broke_prior_attack_start,pullback_new_down_outcome,attack_net_gain,attack_max_forward_outcome,attack_duration_bars,attack_up_bars,attack_down_bars,attack_start_time,attack_end_time,attack_start_close,attack_end_close,attack_path_efficiency,attack_avg_velocity5,attack_peak_velocity5,attack_cumulative_forward_path,attack_cumulative_adverse_path,attack_vp_change_start_to_end,recovery_pullback_low,recovery_start_time,recovery_start_close,recovery_reclaim_ratio_of_pullback,recovery_reclaimed_sma20,recovery_broke_pullback_local_high,recovery_velocity_turned_positive,recovery_vp_responded,recovery_efficiency_positive,recovery_exceeded_prior_attack_high,recovery_path_efficiency,selected_case
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing3,retracement,0.03,11,DOWN_LEG,75,79,2020-08-20T15:00:00Z,2020-08-21T03:00:00Z,24,28,5,3.3563,3.0627,-0.08747728153025658,0.10615856747013082,0.0264279116884664,1,3,0.3218000000000001,0.028200000000000003,0.9123679303915475,0.009590042380401686,0.022179913563845983,1.6624445168264461,0.9922808985686231,1.6624445168264461,1.1825936226799763,0.01230560015340329,UP,COOLING,FAST-UP,IMPROVING,POSITIVE,40,83,WEAK,EXPANDING,DOWN,WEAK,NEGATIVE,10,20,WEAK,EXPANDING,DOWN,WEAK,NEGATIVE,10,20,3.445,3.0,0.1291727140783744,5.0,0.009590042380401686,0.9922808985686231,0.9123679303915475,0.35630000000000006,0.8521884716574986,2.9382,2.9122,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing3,retracement,0.03,12,UP_LEG,79,81,2020-08-21T03:00:00Z,2020-08-21T09:00:00Z,28,30,3,3.0627,3.0918,0.009501420315408016,0.05789009697325897,0.020472132432167688,2,0,0.029100000000000126,0.0,1.0,-0.012341127680319391,-0.00814480738716216,1.1825936226799763,0.9608541179129458,1.1825936226799763,0.8385451417454719,-0.014044965277519179,WEAK,EXPANDING,DOWN,WEAK,NEGATIVE,10,20,UP-ATTEMPT,COOLING,DOWN,WEAK,NEGATIVE,25,33,UP-ATTEMPT,COOLING,DOWN,WEAK,NEGATIVE,25,33,,,,,,,,,,,,,,,0.009501420315408016,0.05789009697325897,3.0,2.0,0.0,2020-08-21T03:00:00Z,2020-08-21T09:00:00Z,3.0627,3.0918,1.0,-0.012341127680319391,-0.00814480738716216,0.029100000000000126,0.0,-0.34404848093450435,3.0,2020-08-21T03:00:00Z,3.0627,0.25764804939657615,True,False,False,False,False,False,1.0,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing3,retracement,0.03,13,DOWN_LEG,81,87,2020-08-21T09:00:00Z,2020-08-22T03:00:00Z,30,36,7,3.0918,2.8249,-0.08632511805420795,0.11278219807232033,0.02322271815770751,0,6,0.26690000000000014,0.0,1.0,-0.011391779689354935,-0.004918443204769942,0.8385451417454719,0.8272546441314296,1.1272333926952933,0.7902629669459611,-0.013567736486734042,UP-ATTEMPT,COOLING,DOWN,WEAK,NEGATIVE,25,33,WEAK,COOLING,DOWN,WEAK,NEGATIVE,50,5,WEAK,COOLING,DOWN,WEAK,NEGATIVE,50,5,3.1377,2.7431,0.12576090767122416,7.0,-0.011391779689354935,0.8272546441314296,1.0,0.3487,11.982817869415756,3.0627,3.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing3,retracement,0.03,14,UP_LEG,87,90,2020-08-22T03:00:00Z,2020-08-22T12:00:00Z,36,39,4,2.8249,3.0399,0.07610888881022326,0.11862366809444588,0.02895677723105238,2,1,0.24479999999999968,0.029799999999999827,0.8782679738562097,-0.008619447434987132,0.007248432117365172,0.7902629669459611,1.1632121663834418,2.159581483493803,2.159581483493803,-0.010361735282424388,WEAK,COOLING,DOWN,WEAK,NEGATIVE,50,5,WEAK,EXPANDING,FAST-UP,IMPROVING,POSITIVE,65,65,WEAK,EXPANDING,FAST-UP,IMPROVING,POSITIVE,65,65,,,,,,,,,,,,,,,0.07610888881022326,0.11862366809444588,4.0,2.0,1.0,2020-08-22T03:00:00Z,2020-08-22T12:00:00Z,2.8249,3.0399,0.8782679738562097,-0.008619447434987132,0.007248432117365172,0.24479999999999968,0.029799999999999827,1.3693185165478419,2.7431,2020-08-22T03:00:00Z,2.8249,0.8511614568396895,False,False,False,True,False,True,0.8782679738562097,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing5,retracement,0.05,1,DOWN_LEG,51,56,2020-08-17T15:00:00Z,2020-08-18T06:00:00Z,0,5,6,3.157,2.918,-0.07570478302185613,0.08837503959455176,0.018371872030408562,1,4,0.2854000000000001,0.04640000000000022,0.8374211632796068,-0.01197282906835346,-0.006332247859730934,1.4460664781718724,1.2628619061380937,2.1783877184840597,1.772070289385708,-0.011257415926671647,WEAK,EXPANDING,DOWN,WEAK,NEGATIVE,62,25,WEAK,EXPANDING,DOWN,WEAK,NEGATIVE,45,20,WEAK,EXPANDING,DOWN,WEAK,NEGATIVE,45,20,3.215,2.878,0.1048211508553654,6.0,-0.01197282906835346,1.2628619061380937,0.8374211632796068,,,,,True,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing5,retracement,0.05,2,UP_LEG,56,59,2020-08-18T06:00:00Z,2020-08-18T15:00:00Z,5,8,4,2.918,3.381,0.1586703221384509,0.2711446196024674,0.03684030157642218,3,0,0.46299999999999963,0.0,1.0,0.002597521467631813,0.02019984190734582,1.772070289385708,3.801803998987241,5.746734708241804,5.746734708241804,-0.0014932074716855579,WEAK,EXPANDING,DOWN,WEAK,NEGATIVE,45,20,UP,EXPANDING,FAST-UP,IMPROVING,POSITIVE,40,95,UP,EXPANDING,FAST-UP,IMPROVING,POSITIVE,40,95,,,,,,,,,,,,,,,0.1586703221384509,0.2711446196024674,4.0,3.0,0.0,2020-08-18T06:00:00Z,2020-08-18T15:00:00Z,2.918,3.381,1.0,0.002597521467631813,0.02019984190734582,0.46299999999999963,0.0,3.974664418856096,2.878,2020-08-18T06:00:00Z,2.918,1.8028673835125442,True,True,True,True,False,True,1.0,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing5,retracement,0.05,3,DOWN_LEG,59,61,2020-08-18T15:00:00Z,2020-08-18T21:00:00Z,8,10,3,3.381,3.3407,-0.011919550428867165,0.036379769299023895,0.09707187222715181,1,1,0.13350000000000017,0.0932000000000004,0.3018726591760279,0.02436471495475247,0.027056383153468512,5.746734708241804,2.4044056131496037,5.746734708241804,0.6787149646556354,0.007806025497775339,UP,EXPANDING,FAST-UP,IMPROVING,POSITIVE,40,95,UP,EXPANDING,FAST-UP,IMPROVING,POSITIVE,15,100,UP,EXPANDING,FAST-UP,IMPROVING,POSITIVE,15,100,3.7092,3.258,0.12164348107408607,3.0,0.02436471495475247,2.4044056131496037,0.3018726591760279,0.12299999999999978,0.2656587473002157,2.918,2.878,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing5,retracement,0.05,4,UP_LEG,61,62,2020-08-18T21:00:00Z,2020-08-19T00:00:00Z,10,11,2,3.3407,3.33,-0.003202921543389081,0.006196306163378981,0.06265154009638693,0,1,0.010699999999999932,0.0,1.0,0.021748912645045207,0.027056383153468512,0.6787149646556354,0.7597981653684832,0.840881366081331,0.840881366081331,0.007625345553627056,UP,EXPANDING,FAST-UP,IMPROVING,POSITIVE,15,100,UP-ATTEMPT,EXPANDING,FAST-UP,IMPROVING,POSITIVE,15,85,UP-ATTEMPT,EXPANDING,FAST-UP,IMPROVING,POSITIVE,15,85,,,,,,,,,,,,,,,-0.003202921543389081,0.006196306163378981,2.0,0.0,1.0,2020-08-18T21:00:00Z,2020-08-19T00:00:00Z,3.3407,3.33,1.0,0.021748912645045207,0.027056383153468512,0.010699999999999932,0.0,0.1621664014256956,3.258,2020-08-18T21:00:00Z,3.3407,0.5853658536585382,True,False,True,True,True,False,1.0,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing5,retracement,0.05,5,DOWN_LEG,62,64,2020-08-19T00:00:00Z,2020-08-19T06:00:00Z,11,13,3,3.33,3.09,-0.07207207207207211,0.15915915915915924,0.04804804804804809,1,1,0.5716000000000001,0.3315999999999999,0.41987403778866367,-0.009016598880067455,0.016441442136621905,0.840881366081331,1.2357538701642208,1.7378759803439867,1.1285042640673448,-0.00807986697507644,UP-ATTEMPT,EXPANDING,FAST-UP,IMPROVING,POSITIVE,15,85,WEAK,ACTIVE,DOWN,WEAK,NEGATIVE,30,17,WEAK,ACTIVE,DOWN,WEAK,NEGATIVE,30,17,3.49,2.8,0.19770773638968492,3.0,-0.009016598880067455,1.2357538701642208,0.41987403778866367,0.5300000000000002,,3.3407,3.32,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True
L0C0001_20200817T150000Z,2020-08-17T15:00:00Z,swing5,retracement,0.05,6,UP_LEG,64,65,2020-08-19T06:00:00Z,2020-08-19T09:00:00Z,13,14,2,3.09,3.01,-0.02588996763754048,0.09385113268608415,0.029093851132686116,0,1,0.08000000000000007,0.0,1.0,-0.021992066186813725,-0.01800008656321897,1.1285042640673448,0.7616423048411585,1.1285042640673448,0.39478034561497205,-0.02228563589301811,WEAK,ACTIVE,DOWN,WEAK,NEGATIVE,30,17,WEAK,ACTIVE,DOWN,WEAK,NEGATIVE,10,12,WEAK,ACTIVE,DOWN,WEAK,NEGATIVE,10,12,,,,,,,,,,,,,,,-0.02588996763754048,0.09385113268608415,2.0,0.0,1.0,2020-08-19T06:00:00Z,2020-08-19T09:00:00Z,3.09,3.01,1.0,-0.021992066186813725,-0.01800008656321897,0.08000000000000007,0.0,-0.7337239184523727,2.8,2020-08-19T06:00:00Z,3.09,0.39622641509433937,False,False,False,False,False,False,1.0,True
